REGION_CODE;DISTRICT_NAME;DISTRICT_CODE
SK010;Bratislava I;SK0101
SK010;Bratislava II;SK0102
SK010;Bratislava III;SK0103
SK010;Bratislava IV;SK0104
SK010;Bratislava V;SK0105
SK010;Malacky;SK0106
SK010;Pezinok;SK0107
SK010;Senec;SK0108
SK021;Dunajská Streda;SK0211
SK021;Galanta;SK0212
SK021;Hlohovec;SK0213
SK021;Piešťany;SK0214
SK021;Senica;SK0215
SK021;Skalica;SK0216
SK021;Trnava;SK0217
SK022;Bánovce nad Bebravou;SK0221
SK022;Ilava;SK0222
SK022;Myjava;SK0223
SK022;Nové Mesto nad Váhom;SK0224
SK022;Partizánske;SK0225
SK022;Považská Bystrica;SK0226
SK022;Prievidza;SK0227
SK022;Púchov;SK0228
SK022;Trenčín;SK0229
SK023;Komárno;SK0231
SK023;Levice;SK0232
SK023;Nitra;SK0233
SK023;Nové Zámky;SK0234
SK023;Šaľa;SK0235
SK023;Topoľčany;SK0236
SK023;Zlaté Moravce;SK0237
SK031;Bytča;SK0311
SK031;Čadca;SK0312
SK031;Dolný Kubín;SK0313
SK031;Kysucké Nové Mesto;SK0314
SK031;Liptovský Mikuláš;SK0315
SK031;Martin;SK0316
SK031;Námestovo;SK0317
SK031;Ružomberok;SK0318
SK031;Turčianske Teplice;SK0319
SK031;Tvrdošín;SK031A
SK031;Žilina;SK031B
SK032;Banská Bystrica;SK0321
SK032;Banská Štiavnica;SK0322
SK032;Brezno;SK0323
SK032;Detva;SK0324
SK032;Krupina;SK0325
SK032;Lučenec;SK0326
SK032;Poltár;SK0327
SK032;Revúca;SK0328
SK032;Rimavská Sobota;SK0329
SK032;Veľký Krtíš;SK032A
SK032;Zvolen;SK032B
SK032;Žarnovica;SK032C
SK032;Žiar nad Hronom;SK032D
SK041;Bardejov;SK0411
SK041;Humenné;SK0412
SK041;Kežmarok;SK0413
SK041;Levoča;SK0414
SK041;Medzilaborce;SK0415
SK041;Poprad;SK0416
SK041;Prešov;SK0417
SK041;Sabinov;SK0418
SK041;Snina;SK0419
SK041;Stará Ľubovňa;SK041A
SK041;Stropkov;SK041B
SK041;Svidník;SK041C
SK041;Vranov nad Topľou;SK041D
SK042;Gelnica;SK0421
SK042;Košice I;SK0422
SK042;Košice II;SK0423
SK042;Košice III;SK0424
SK042;Košice IV;SK0425
SK042;Košice-okolie;SK0426
SK042;Michalovce;SK0427
SK042;Rožňava;SK0428
SK042;Sobrance;SK0429
SK042;Spišská Nová Ves;SK042A
SK042;Trebišov;SK042B